,drug_a_name,drug_b_name,cell_line,synergy,fold
0,5-FU,DINACICLIB,A2058,4.3316952071,0
1,5-FU,MK-8669,A2058,32.336231656,0
2,5-FU,PD325901,A2058,2.2648345474,0
4,5-FU,AZD1775,A2058,13.0526874408,1
5,5-FU,BEZ-235,A2058,13.6791116022,1
6,5-FU,DASATINIB,A2058,31.1256441825,1
7,5-FU,L778123,A2058,9.7282647976,1
8,5-FU,LAPATINIB,A2058,9.1921381489,1
9,5-FU,ABT-888,A2058,7.6935301658,2
10,5-FU,BORTEZOMIB,A2058,-5.2398784479,2
11,5-FU,MK-2206,A2058,15.9003975952,2
12,5-FU,MK-5108,A2058,1.8048954561,2
13,5-FU,SORAFENIB,A2058,1.4874561767,2
14,5-FU,ZOLINZA,A2058,-5.5081195894,2
15,5-FU,ERLOTINIB,A2058,9.6942857549,3
16,5-FU,MK-4827,A2058,6.7380597244,3
17,5-FU,SUNITINIB,A2058,9.6216201263,3
18,5-FU,GELDANAMYCIN,A2058,7.3767092383,4
19,5-FU,MK-8776,A2058,23.5227129994,4
20,ABT-888,SN-38,A2058,37.1975524441,0
21,ABT-888,MK-8669,A2058,24.7600060155,1
22,ABT-888,SORAFENIB,A2058,36.1961652133,1
23,ABT-888,TOPOTECAN,A2058,-1.1875311978,1
24,ABT-888,BEZ-235,A2058,24.0709714753,3
25,ABT-888,GELDANAMYCIN,A2058,22.6697208153,3
26,ABT-888,DINACICLIB,A2058,11.1487216398,4
27,ABT-888,MK-8776,A2058,15.4587203955,4
29,AZD1775,DINACICLIB,A2058,-12.3658597754,0
30,AZD1775,MK-5108,A2058,-9.504263856,0
31,AZD1775,SN-38,A2058,3.0746171886,0
32,AZD1775,GELDANAMYCIN,A2058,8.1440436825,1
33,AZD1775,MK-4827,A2058,32.7687294711,1
35,AZD1775,SORAFENIB,A2058,-7.5305896353,1
36,AZD1775,ABT-888,A2058,10.2488077977,2
37,AZD1775,BORTEZOMIB,A2058,0.2380155481,2
38,AZD1775,ERLOTINIB,A2058,6.9779629489,3
39,AZD1775,LAPATINIB,A2058,7.2283537341,3
40,AZD1775,TOPOTECAN,A2058,5.7150175915,3
41,AZD1775,DASATINIB,A2058,34.97062024235,3
42,AZD1775,MK-8776,A2058,69.5765508979,3
43,AZD1775,MK-2206,A2058,18.8447263032,4
44,AZD1775,MK-8669,A2058,38.93836298,4
45,AZD1775,PD325901,A2058,9.7129387617,4
46,AZD1775,BEZ-235,A2058,10.17818370015,4
47,BEZ-235,DINACICLIB,A2058,12.82913573,0
48,BEZ-235,SORAFENIB,A2058,5.7140047803,1
49,BEZ-235,MK-8776,A2058,65.6157389739,2
51,BEZ-235,SN-38,A2058,1.9333510289,4
52,BORTEZOMIB,DINACICLIB,A2058,-20.0646922996,1
53,BORTEZOMIB,MK-8669,A2058,-6.295088843,1
54,BORTEZOMIB,SORAFENIB,A2058,5.6802129162,1
55,BORTEZOMIB,ABT-888,A2058,7.2379476899,2
56,BORTEZOMIB,BEZ-235,A2058,6.8176625764,2
57,BORTEZOMIB,DASATINIB,A2058,21.6596544046,2
59,BORTEZOMIB,SN-38,A2058,28.0928624372,2
60,BORTEZOMIB,MK-8776,A2058,16.4094980088,3
61,BORTEZOMIB,TOPOTECAN,A2058,-12.1881843756,3
62,BORTEZOMIB,GELDANAMYCIN,A2058,-12.3447524076,4
83,CYCLOPHOSPHAMIDE,ABT-888,A2058,12.7249674359,0
84,CYCLOPHOSPHAMIDE,AZD1775,A2058,4.8374594684,0
85,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,4.609111485,0
86,CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-2.4771009265,0
87,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,2.4735481235,0
88,CYCLOPHOSPHAMIDE,PD325901,A2058,-1.8430109412,0
89,CYCLOPHOSPHAMIDE,BEZ-235,A2058,12.7461879998,1
90,CYCLOPHOSPHAMIDE,DASATINIB,A2058,10.3791196623,1
91,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,12.4027520316,1
92,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,7.6373593747,1
93,CYCLOPHOSPHAMIDE,MK-8669,A2058,20.1973205406,2
94,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,9.1710376846,2
95,CYCLOPHOSPHAMIDE,L778123,A2058,3.8652029459,3
96,CYCLOPHOSPHAMIDE,MK-4827,A2058,8.5102584655,3
97,CYCLOPHOSPHAMIDE,MK-5108,A2058,5.6665922146,3
99,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,5.5494548264,3
100,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-2.7797634582,4
101,CYCLOPHOSPHAMIDE,MK-2206,A2058,10.1727056614,4
102,CYCLOPHOSPHAMIDE,MK-8776,A2058,6.2135497933,4
103,DASATINIB,ABT-888,A2058,15.352585121,0
105,DASATINIB,TOPOTECAN,A2058,6.4764816551,1
106,DASATINIB,MK-8776,A2058,56.6710870957,1
107,DASATINIB,DINACICLIB,A2058,48.9171635906,2
108,DASATINIB,SORAFENIB,A2058,36.3294355627,3
109,DASATINIB,BEZ-235,A2058,70.1804783863,4
110,DASATINIB,GELDANAMYCIN,A2058,-6.1123817221,4
111,DASATINIB,MK-8669,A2058,84.4453477137,4
112,DASATINIB,SN-38,A2058,34.0149622635,4
113,DEXAMETHASONE,MK-5108,A2058,-9.8334660478,0
115,DEXAMETHASONE,GELDANAMYCIN,A2058,-0.4018303213,1
116,DEXAMETHASONE,MK-8669,A2058,10.7013116867,1
117,DEXAMETHASONE,ABT-888,A2058,-14.702384611,2
118,DEXAMETHASONE,BEZ-235,A2058,13.5941902785,2
119,DEXAMETHASONE,MK-4827,A2058,-17.6309143216,2
120,DEXAMETHASONE,BORTEZOMIB,A2058,-1.8765546423,3
121,DEXAMETHASONE,DINACICLIB,A2058,-11.4082575223,3
122,DEXAMETHASONE,L778123,A2058,-5.0183519054,3
123,DEXAMETHASONE,ZOLINZA,A2058,-12.4407141801,3
124,DEXAMETHASONE,AZD1775,A2058,-6.0379847151,4
125,DEXAMETHASONE,DASATINIB,A2058,-0.1787357598,4
126,DEXAMETHASONE,ERLOTINIB,A2058,-18.8279417049,4
127,DEXAMETHASONE,LAPATINIB,A2058,-16.2370825318,4
128,DEXAMETHASONE,MK-2206,A2058,-0.5481215019,4
129,DEXAMETHASONE,MK-8776,A2058,-6.3655864691,4
130,DEXAMETHASONE,PD325901,A2058,3.5088316503,4
131,DEXAMETHASONE,SORAFENIB,A2058,11.6190157067,4
132,DEXAMETHASONE,SUNITINIB,A2058,9.0265014595,4
133,DINACICLIB,MK-8776,A2058,6.3752259787,1
134,DOXORUBICIN,DINACICLIB,A2058,-3.0113840238,0
135,DOXORUBICIN,GELDANAMYCIN,A2058,8.7563453001,0
136,DOXORUBICIN,L778123,A2058,10.0811285083,0
137,DOXORUBICIN,LAPATINIB,A2058,6.1319998153,0
138,DOXORUBICIN,ZOLINZA,A2058,4.5642394165,0
139,DOXORUBICIN,ERLOTINIB,A2058,3.0785296833,1
140,DOXORUBICIN,MK-2206,A2058,1.8203104426,1
141,DOXORUBICIN,PD325901,A2058,12.3926036226,1
142,DOXORUBICIN,SORAFENIB,A2058,-4.8625902988,1
143,DOXORUBICIN,ABT-888,A2058,-7.8502589898,2
145,DOXORUBICIN,AZD1775,A2058,9.2662883626,3
146,DOXORUBICIN,MK-4827,A2058,-12.5430883587,3
147,DOXORUBICIN,MK-5108,A2058,-6.2110304888,3
148,DOXORUBICIN,MK-8669,A2058,-10.4902325429,3
149,DOXORUBICIN,BEZ-235,A2058,2.5594016488,4
150,DOXORUBICIN,BORTEZOMIB,A2058,-6.7107859624,4
151,DOXORUBICIN,DASATINIB,A2058,2.4428538849,4
152,DOXORUBICIN,MK-8776,A2058,16.6872304752,4
153,DOXORUBICIN,SUNITINIB,A2058,-3.1660455861,4
154,ERLOTINIB,BEZ-235,A2058,30.4472347297,0
155,ERLOTINIB,BORTEZOMIB,A2058,-1.0290095733,0
156,ERLOTINIB,DINACICLIB,A2058,0.840527497,0
158,ERLOTINIB,SORAFENIB,A2058,-1.6565454253,1
159,ERLOTINIB,MK-8776,A2058,24.1294701352,2
160,ERLOTINIB,PD325901,A2058,6.4222052802,2
161,ERLOTINIB,SN-38,A2058,14.2345543965,2
162,ERLOTINIB,DASATINIB,A2058,50.8561267311,3
163,ERLOTINIB,TOPOTECAN,A2058,20.6595466511,3
164,ERLOTINIB,ABT-888,A2058,9.6671129656,4
165,ERLOTINIB,GELDANAMYCIN,A2058,19.8583289401,4
166,ERLOTINIB,MK-8669,A2058,52.2617159832,4
167,ETOPOSIDE,GELDANAMYCIN,A2058,31.0615666545,0
168,ETOPOSIDE,MK-8669,A2058,-4.1015614091,0
169,ETOPOSIDE,BORTEZOMIB,A2058,-6.6714341451,1
